year,ind1,ind2,twc
2000,Manufacturing,Manufacturing,5.6
2000,Construction,Construction,2.1
2000,Services,Wholesale And Retail Trade,5.8
2000,Services,Transportation And Storage,7.6
2000,Services,Accommodation And Food Services,5
2000,Services,Information And Communications,10.4
2000,Services,Financial And Insurance Services,11.6
2000,Services,Real Estate Services,5.3
2000,Services,Professional Services,9
2000,Services,Administrative And Support Services,4.1
2000,Services,"Community,Social And Personal Services",8.9
2001,Manufacturing,Manufacturing,0.2
2001,Construction,Construction,-1.5
2001,Services,Wholesale And Retail Trade,1.3
2001,Services,Transportation And Storage,3.5
2001,Services,Accommodation And Food Services,0.2
2001,Services,Information And Communications,1.3
2001,Services,Financial And Insurance Services,3
2001,Services,Real Estate Services,0.2
2001,Services,Professional Services,1.3
2001,Services,Administrative And Support Services,1.8
2001,Services,"Community,Social And Personal Services",0.8
2002,Manufacturing,Manufacturing,0.6
2002,Construction,Construction,-0.9
2002,Services,Wholesale And Retail Trade,1
2002,Services,Transportation And Storage,-5.5
2002,Services,Accommodation And Food Services,0.2
2002,Services,Information And Communications,-0.1
2002,Services,Financial And Insurance Services,0.8
2002,Services,Real Estate Services,-0.1
2002,Services,Professional Services,0.7
2002,Services,Administrative And Support Services,1.1
2002,Services,"Community,Social And Personal Services",1.6
2003,Manufacturing,Manufacturing,1.8
2003,Construction,Construction,-0.1
2003,Services,Wholesale And Retail Trade,1.7
2003,Services,Transportation And Storage,3.4
2003,Services,Accommodation And Food Services,0
2003,Services,Information And Communications,1.2
2003,Services,Financial And Insurance Services,-1
2003,Services,Real Estate Services,0.7
2003,Services,Professional Services,2.4
2003,Services,Administrative And Support Services,0.7
2003,Services,"Community,Social And Personal Services",1.9
2004,Manufacturing,Manufacturing,3.1
2004,Construction,Construction,1.5
2004,Services,Wholesale And Retail Trade,3.6
2004,Services,Transportation And Storage,4
2004,Services,Accommodation And Food Services,1.9
2004,Services,Information And Communications,3.7
2004,Services,Financial And Insurance Services,5.4
2004,Services,Real Estate Services,1.2
2004,Services,Professional Services,6
2004,Services,Administrative And Support Services,2.1
2004,Services,"Community,Social And Personal Services",5
2005,Manufacturing,Manufacturing,3.7
2005,Construction,Construction,1.9
2005,Services,Wholesale And Retail Trade,3.9
2005,Services,Transportation And Storage,7
2005,Services,Accommodation And Food Services,3.4
2005,Services,Information And Communications,5.3
2005,Services,Financial And Insurance Services,6.7
2005,Services,Real Estate Services,2.4
2005,Services,Professional Services,5.1
2005,Services,Administrative And Support Services,3.6
2005,Services,"Community,Social And Personal Services",3.2
2006,Manufacturing,Manufacturing,4.2
2006,Construction,Construction,3.7
2006,Services,Wholesale And Retail Trade,4.6
2006,Services,Transportation And Storage,3.1
2006,Services,Accommodation And Food Services,3.9
2006,Services,Information And Communications,6.2
2006,Services,Financial And Insurance Services,5.8
2006,Services,Real Estate Services,3.2
2006,Services,Professional Services,6.8
2006,Services,Administrative And Support Services,3.7
2006,Services,"Community,Social And Personal Services",5.1
2007,Manufacturing,Manufacturing,4.7
2007,Construction,Construction,5.1
2007,Services,Wholesale And Retail Trade,5.4
2007,Services,Transportation And Storage,8.8
2007,Services,Accommodation And Food Services,4.7
